PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM
J	"Viseras, C; Calvache, ML; Soria, JM; Fernandez, J"								Differential features of alluvial fans controlled by tectonic or eustatic accommodation space. Examples from the Betic Cordillera, Spain								GEOMORPHOLOGY				50	1-mar	SI		181	202	PII S0169-555X(02)00214-3	10.1016/S0169-555X(02)00214-3			FEB 1 2003	2003										74	1	0	4	0	75			0169-555X	1872-695X		WOS:000180823100011	
J	"Gomez, JM; Zamora, R"								Differential impact of vertebrate and invertebrate herbivores on the reproductive output of Hormathophylla spinosa								ECOSCIENCE				7	3			299	306					2000	2000										11	0	0	12	0	12			1195-6860			WOS:000088908900006	
J	"BEA, F; PEREIRA, MD; CORRETGE, LG; FERSHTATER, GB"				"Bea, Fernando/G-6376-2012; Pereira , Dolores /C-4901-2009"	"Bea, Fernando/0000-0001-6245-2625; "			DIFFERENTIATION OF STRONGLY PERALUMINOUS, PERPHOSPHORUS GRANITES - THE PEDROBERNARDO PLUTON, CENTRAL SPAIN								GEOCHIMICA ET COSMOCHIMICA ACTA				58	12			2609	2627		10.1016/0016-7037(94)90132-5			jun-94	1994										76	3	1	2	0	80			0016-7037			WOS:A1994NT53300003	
J	"CARRILLO, P; RECHE, I; SANCHEZCASTILLO, P; CRUZPIZARRO, L"				"Reche, Isabel/K-7120-2014; Cruz-Pizarro, Luis /H-5318-2015; Carrillo, Presentacion /I-1601-2015"	"Reche, Isabel/0000-0003-2908-1724; Cruz-Pizarro, Luis /0000-0003-0687-0704; "			DIRECT AND INDIRECT EFFECTS OF GRAZING ON THE PHYTOPLANKTON SEASONAL SUCCESSION IN AN OLIGOTROPHIC LAKE								JOURNAL OF PLANKTON RESEARCH				17	6			1363	1379		10.1093/plankt/17.6.1363			jun-95	1995										34	0	0	25	0	34			0142-7873	1464-3774		WOS:A1995RL65700011	
J	"Villar-Argaiz, Manuel; Jose Bullejos, Francisco; Manuel Medina-Sanchez, Juan; Ramos-Rodriguez, Eloisa; Antonio Delgado-Molina, Jose; Carrillo, Presentacion"				"Medina-Sanchez, Juan Manuel/A-4703-2013; Ramos-Rodriguez, Eloisa/K-2819-2014; Villar-Argaiz, Manuel/L-9085-2014; Carrillo, Presentacion /I-1601-2015"	"Ramos-Rodriguez, Eloisa/0000-0003-2440-0765; "			Disentangling food quantity and quality effects in zooplankton response to P-enrichment and UV radiation								LIMNOLOGY AND OCEANOGRAPHY				57	1			235	250		10.4319/lo.2012.57.1.0235			ene-12	2012										5	0	0	5	0	5			0024-3590			WOS:000302612100002	
J	"Larena, Belen Gutierrez; Aguilar, Javier Fuertes; Feliner, Gonzalo Nieto"				Fuertes Aguilar, Javier/A-3974-2010	Fuertes Aguilar, Javier/0000-0001-5649-4845			Dispersal across Southern Iberian refugia? Integrating rapds, sequence data and morphometrics in Armeria (Plumbaginaceae)								FOLIA GEOBOTANICA				41	3			305	322		10.1007/BF02904944			2006	2006										7	0	0	7	0	7			1211-9520			WOS:000239529200005	
J	"Perez-Martinez, C; Barea-Arco, J; Sanchez-Castillo, P"				"Sanchez-Castillo, Pedro M. /N-1598-2014; Perez-Martinez, Carmen/K-1219-2014"	"Sanchez-Castillo, Pedro M. /0000-0001-7183-9717; Perez-Martinez, Carmen/0000-0001-8777-4487"			Dispersal and colonization of the epibiont alga Korshikoviella gracilipes (Chlorophyceae) on Daphnia pulicaria (Cladocera)								JOURNAL OF PHYCOLOGY				37	5			724	730		10.1046/j.1529-8817.2001.00180.x			oct-01	2001										6	0	0	5	0	6			0022-3646			WOS:000171736300008	
J	"Perez, Jesus M.; Serrano, Emmanuel; Soriguer, Ramon C.; Gonzalez, Francisco J.; Sarasa, Mathieu; Granados, Jose E.; Cano-Manuel, Francisco J.; Cuenca, Rafaela; Fandos, Paulino"				"Fandos, Paulino/M-7304-2015; CESAM, UA/M-3762-2015; Serrano Ferron, Emmanuel/J-4489-2013"	"Fandos, Paulino/0000-0002-9607-8931; Serrano Ferron, Emmanuel/0000-0002-9799-9804"			DISTINGUISHING DISEASE EFFECTS FROM ENVIRONMENTAL EFFECTS IN A MOUNTAIN UNGULATE: SEASONAL VARIATION IN BODY WEIGHT, HEMATOLOGY, AND SERUM CHEMISTRY AMONG IBERIAN IBEX (CAPRA PYRENAICA) AFFECTED BY SARCOPTIC MANGE								JOURNAL OF WILDLIFE DISEASES				51	1			148	156		10.7589/2014-01-008			ene-15	2015										4	0	0	2	0	4			0090-3558	1943-3700		WOS:000348001200015	25380360
J	"Madero, A.; Tinaut, A."								Distribucion altitudinal de lo vespidos en Sierra Nevada (Granada, Espana) Hymenoptera, Vespidae).								Actas do Congresso Iberico de Entomologia				2	3			383	392					1985	1985										0	0	0	0	0	0						ZOOREC:ZOOR12200031232	
J	Morales Baquero, R.								Distribucion de los rotiferos de la zona litoral de las lagunas de alta montana de Sierra Nevada, Espana.								Limnetica				3				73	80					1987	1987										1	0	0	1	0	1			0213-8409			ZOOREC:ZOOR12900016735	
J	"Sainz Cantero, C.E.; Sanchez Ortega, A.; Alba Tercedor, J."				Sainz-Cantero, Carmen Elisa/L-5985-2014				Distribucion y autoecologia de Hydraenidae (Col.) en Sierra Nevada (Espana).								Boletin de la Asociacion Espanola de Entomologia				11				355	365					1987	1987										1	0	0	2	0	2			0210-8984			ZOOREC:ZOOR12400059247	
J	"SAINZ CANTERO C E; SANCHEZ ORTEGA A; ALBA TERCEDOR J"				Sainz-Cantero, Carmen Elisa/L-5985-2014				DISTRIBUTION AND AUTOECOLOGY OF HYDRAENIDAE IN THE SIERRA NEVADA SPAIN INSECTA COLEOPTERA								Boletin de la Asociacion Espanola de Entomologia				11				355	366					1987	1987										0	0	0	0	0	0			0210-8984			BIOSIS:PREV198886025076	
J	"Miguel Barea-Azcon, Jose; Benito, Blas M.; Olivares, Francisco J.; Ruiz, Helena; Martin, Javier; Garcia, Antonio L.; Lopez, Rogelio"								Distribution and conservation of the relict interaction between the butterfly Agriades zullichi and its larval foodplant (Androsace vitaliana nevadensis)								BIODIVERSITY AND CONSERVATION				23	4			927	944		10.1007/s10531-014-0643-4			abr-14	2014										2	0	0	2	0	2			0960-3115	1572-9710		WOS:000332739300008	
S	"Durrieu, Guy; Adhikari, Mahesh K."						"Petrini, O.; Laursen, G. A."		Distribution of some groups of plant parasitic fungi in high mountains								"Bibliotheca Mycologica; Arctic and alpine mycology 3-4"		Bibliotheca Mycologica		150				23	31					1993	1993						Third and Fourth International Symposium on Arcto-Alpine MycologyThird and Fourth International Symposium on Arcto-Alpine Mycology	"August 10-19, 1988; August 24-September 4, 1992August 10-19, 1988; August 24-September 4, 1992"		"Svalbard, Norway; Lanslebourg, FranceSvalbard, Norway; Lanslebourg, France"	0	0	0	0	0	0			0067-8066		3-443-59051-9	BIOSIS:PREV199345116727	
J	"Gonzalez-Megias, A.; Gomez, J.M.; Sanchez-Pinero, F."				Sanchez Pinero, Francisco/L-2629-2014				Diverse responses of shrub-associated arthropods to ungulate removal.								Zoologica Baetica				16				121	139					2005	2005										0	0	0	0	0	0			1130-4251			ZOOREC:ZOOR14212075472	
S	Martinez Rica, J. P.						"Nagy, Laszlo; Grabherr, Georg; Koerner, Christian; Thompson, Desmond B. A."		Diversity of alpine vertebrates in the Pyrenees and Sierra Nevada, Spain.								Alpine diversity in Europe		Ecological Studies		Volume 167				367	375					2003	2003										0	0	0	0	0	0			0070-8356 (ISSN print)		3-540-00108-5 (cloth)	BIOSIS:PREV200300488918	
J	Martinez Rica, J.P.								Diversity of alpine vertebrates in the Pyrenees and Sierra Nevada, Spain.								Ecological Studies				167				367	375					2003	2003										0	0	0	0	0	0			0070-8356			ZOOREC:ZOOR13900063639	
J	"Gonzalez-Megias, Adela; Maria Gomez, Jose; Sanchez-Pinero, Francisco"				Sanchez Pinero, Francisco/L-2629-2014				Diversity-habitat heterogeneity relationship at different spatial and temporal scales								ECOGRAPHY				30	1			31	41		10.1111/j.2006.0906-7590.04867.x			feb-07	2007										22	2	0	23	3	26			0906-7590			WOS:000244419200004	
J	"Bonet, Francisco J.; Perez-Perez, Ramon; Benito, Bias M.; de Albuquerque, Fabio Suzart; Zamora, Regino"				Benito, Blas M./D-4681-2014	Benito, Blas M./0000-0001-5105-7232			Documenting, storing, and executing models in Ecology: A conceptual framework and real implementation in a global change monitoring program								ENVIRONMENTAL MODELLING & SOFTWARE				52				192	199		10.1016/j.envsoft.2013.10.027			feb-14	2014										1	0	0	0	0	1			1364-8152	1873-6726		WOS:000346751700016	
J	"Reche, I; Pulido-Villena, E; Morales-Baquero, R; Casamayor, EO"				"Casamayor, Emilio/A-3676-2010; Reche, Isabel/K-7120-2014; "	"Reche, Isabel/0000-0003-2908-1724; Morales Baquero, Rafael/0000-0002-7075-7899; Casamayor, Emilio O/0000-0001-7074-3318"			Does ecosystem size determine aquatic bacterial richness?								ECOLOGY				86	7			1715	1722		10.1890/04-1587			jul-05	2005										135	11	0	129	1	149			dic-58			WOS:000230249600007	
J	"Gomez-Gutierrez, Alvaro; Juan de Sanjose-Blasco, Jose; Lozano-Parra, Javier; Berenguer-Sempere, Fernando; de Matias-Bejarano, Javier"								Does HDR Pre-Processing Improve the Accuracy of 3D Models Obtained by Means of two Conventional SfM-MVS Software Packages? The Case of the Corral del Veleta Rock Glacier								REMOTE SENSING				7	8			10269	10294		10.3390/rs70810269			ago-15	2015										1	0	0	0	0	1			2072-4292			WOS:000360818800036	
J	"Zamora-Camacho, F. J.; Reguera, S.; Moreno-Rueda, G."								Does tail autotomy affect thermoregulation in an accurately thermoregulating lizard? Lessons from a 2200-m elevational gradient								JOURNAL OF ZOOLOGY				297	3			204	210		10.1111/jzo.12266			nov-15	2015										0	0	0	0	0	0			0952-8369	1469-7998		WOS:000364643900005	
J	"Galiano, L.; Martinez-Vilalta, J.; Lloret, F."				Martinez-Vilalta, Jordi/D-3385-2014	Martinez-Vilalta, Jordi/0000-0002-2332-7298			Drought-Induced Multifactor Decline of Scots Pine in the Pyrenees and Potential Vegetation Change by the Expansion of Co-occurring Oak Species								ECOSYSTEMS				13	7			978	991		10.1007/s10021-010-9368-8			nov-10	2010										86	1	0	74	0	88			1432-9840			WOS:000282699200003	
J	"Ruano, F; Hefetz, A; Lenoir, A; Francke, W; Tinaut, A"				"Hefetz, Abraham/I-3853-2015; Ruano, Francisca/M-1028-2014"	Ruano, Francisca/0000-0002-9806-7267			Dufour's gland secretion as a repellent used during usurpation by the slave-maker ant Rossomyrmex minuchae								JOURNAL OF INSECT PHYSIOLOGY				51	10			1158	1164		10.1016/j.jinsphys.2005.06.005			oct-05	2005										12	2	0	12	0	14			0022-1910			WOS:000232815300011	16076474
J	"Ari Noriega, Jorge; Solis, Cesil; Garcia, Hector; Murillo-Ramos, Leidys; Manuel Renjifo, Juan; Eliecer Olarte, Jorge"								Dung beetles (Coleoptera: Scarabaeinae) from the Caribbean Region of Colombia								CALDASIA				35	2			465	477					2013	2013										0	0	0	0	0	0			0366-5232			WOS:000329567800016	
J	Alba-Tercedor, J.								Ecologia, distribucion y ciclos de desarrollo de efemeroteros de Sierra Nevada (Granada, Espana). 2. Baetidae (Insecta, Ephemeroptera).								Limnetica				1	1			234	246					1984	1984										5	0	0	5	0	5			0213-8409			ZOOREC:ZOOR12500057561	
B	"Gonzalez-Megias, Adela; Gomez, Jose Maria; Sanchez Pinero, Francisco"				Sanchez Pinero, Francisco/L-2629-2014		"Jolivet, P.; Santiago-Blay, J.A.; Schmitt, M."		Ecology of the high mountain chrysomelid Timarcha lugens Rosenhauer (Chrysomelinae).								New developments in the biology of Chrysomelidae.								553	563					2004	2004										3	0	0	3	0	3					90-5103-142-4	ZOOREC:ZOOR14012069484	
J	"Nassl, Michael; Loeffler, Joerg"								Ecosystem services in coupled social-ecological systems: Closing the cycle of service provision and societal feedback								AMBIO				44	8			737	749		10.1007/s13280-015-0651-y			dic-15	2015										1	0	0	0	0	1			0044-7447	1654-7209		WOS:000365268600003	25964160
J	"DELGADO CALVO-FLORES R; ORTEGA BERNALDO DE QUIROS E"								EDAPHOCLIMATE OF THE SOUTH-SOUTHEAST PART OF SIERRA-NEVADA SPAIN								Anales de Edafologia y Agrobiologia				43	7-ago			987	1018					1984	1984										0	0	0	0	0	0			0365-1797			BIOSIS:PREV198580100290	
J	"PARRAGA J; AGUILAR J"				Parraga, Jesus/L-1042-2014				EDAPHOLOGICAL STUDY OF THE DEHESA OF CAMARATE SIERRA-NEVADA GRANADA SPAIN 1. MACRO AND MICRO MORPHOLOGICAL CHARACTERISTICS								Anales de Edafologia y Agrobiologia				40	5-jun			775	796					1981	1981										0	0	0	0	0	0			0365-1797			BIOSIS:PREV198274072330	
J	"Lee, Wei-Liang; Liou, K. N."								Effect of absorbing aerosols on snow albedo reduction in the Sierra Nevada								ATMOSPHERIC ENVIRONMENT				55				425	430		10.1016/j.atmosenv.2012.03.024			ago-12	2012										0	1	0	0	0	1			1352-2310	1873-2844		WOS:000306870400054	
J	"Zamora, R; Gomez, JM; Hodar, JA; Castro, J; Garcia, D"				"Garcia, Daniel/A-1236-2011; Castro, Jorge/M-1509-2014"	"Garcia, Daniel/0000-0002-7334-7836; Castro, Jorge/0000-0002-6362-2240"			Effect of browsing by ungulates on sapling growth of Scots pine in a Mediterranean environment: consequences for forest regeneration								FOREST ECOLOGY AND MANAGEMENT				144	1-mar			33	42		10.1016/S0378-1127(00)00362-5			APR 15 2001	2001										57	0	0	55	0	60			0378-1127			WOS:000167955700003	
J	"Garcia-Jurado, Fatima; de Vicente, Inmaculada; Galotti, Andrea; Reul, Andreas; Jimenez-Gomez, Francisco; Guerrero, Francisco"				"Guerrero, Francisco/E-7704-2012; de Souza, Andrea/F-5656-2012; Reul, Andreas/L-7291-2014; JIMENEZ GOMEZ, FRANCISCO/E-7093-2012"	"Reul, Andreas/0000-0002-1951-8948; JIMENEZ GOMEZ, FRANCISCO/0000-0001-8644-7089"			Effect of Drought Conditions on Plankton Community and on Nutrient Availability in an Oligotrophic High Mountain Lake								ARCTIC ANTARCTIC AND ALPINE RESEARCH				44	1			50	61		10.1657/1938-4246-44.1.50			feb-12	2012										3	0	0	2	0	3			1523-0430			WOS:000302271600006	
S	"Morales-Baquero, R.; Conde-Porcuna, J. M."				Conde-Porcuna, Jose/L-9665-2014	Conde-Porcuna, Jose/0000-0002-5074-2796	Williams, WD		Effect of the catchment areas on the abundance of zooplankton in high mountain lakes of the Sierra Nevada (Spain)								INTERNATIONAL ASSOCIATION OF THEORETICAL AND APPLIED LIMNOLOGY, PROCEEDINGS, VOL 27, PT 4		International Association of Theoretical and Applied Limnology Proceedings		27				1804	1808					2001	2001						27th Congress of the International-Association-of-Theoretical-and-Applied-Limnology27th Congress of the International-Association-of-Theoretical-and-Applied-Limnology	19981998	Int Assoc Theoret & Appl LimnolInt Assoc Theoret & Appl Limnol	Dublin, IRELANDDublin, IRELAND	0	0	0	0	0	0			0368-0770		978-3-510-54055-6	WOS:000287228100019	
J	"Gomez, Jose M.; Puerta-Pinero, Carolina; Schupp, Eugene W."				"Schupp, Eugene/F-1834-2010; Puerta Pinero, Carolina/B-3186-2012"	Puerta Pinero, Carolina/0000-0002-0584-7548			Effectiveness of rodents as local seed dispersers of Holm oaks								OECOLOGIA				155	3			529	537		10.1007/s00442-007-0928-3			mar-08	2008										89	13	0	86	1	101			0029-8549	1432-1939		WOS:000254238500012	18075760
J	"Garcia-Jurado, Fatima; Jimenez-Gomez, Francisco; Guerrero, Francisco"				"Guerrero, Francisco/E-7704-2012; JIMENEZ GOMEZ, FRANCISCO/E-7093-2012"	JIMENEZ GOMEZ, FRANCISCO/0000-0001-8644-7089			Effects of a dry period on the limnological characteristics of a Mediterranean high mountain lake								LIMNETICA				30	1			5	16					jun-11	2011										3	0	0	3	0	3			0213-8409			WOS:000292075400002	
J	"Rodriguez, Ferran A.; Iglesias, Xavier; Feriche, Belen; Calderon, Carmen; Abalos, Xavier; Vazquez, Jairo; Barrero, Anna; Rodriguez, Lara; Hynynen, Esa; Levine, Benjamin D."								Effects of Altitude Training on Heart Rate Variability in Orthostatic Test in Elite Swimmers								MEDICINE AND SCIENCE IN SPORTS AND EXERCISE				44				364	364				2	may-12	2012										0	0	0	0	0	0			0195-9131			WOS:000310363302342	
J	"MoralesBaquero, R; CruzPizarro, L"				"Cruz-Pizarro, Luis /H-5318-2015; Carrillo, Presentacion /I-1601-2015; "	"Cruz-Pizarro, Luis /0000-0003-0687-0704; Morales Baquero, Rafael/0000-0002-7075-7899"			Effects of fluctuating temperatures on the population dynamics of Hexarthra bulgarica (Wiszniewski) from high mountain lakes in Sierra Nevada (Spain)								HYDROBIOLOGIA				313				359	363		10.1007/BF00025970			NOV 3 1995	1995						7th International Rotifer Symposium7th International Rotifer Symposium	JUN 06-11, 1994JUN 06-11, 1994	"Polish Acad Sci, Inst Ecol; Polish Hydrobiol Soc, Rotifer SectPolish Acad Sci, Inst Ecol; Polish Hydrobiol Soc, Rotifer Sect"	POLISH ACAD SCI, INST ECOL, MIKOLAJKI, POLANDPOLISH ACAD SCI, INST ECOL, MIKOLAJKI, POLAND	8	0	0	7	0	8			0018-8158			WOS:A1995TR66600047	
J	"Bosch, J; Rincon, PA; Boyero, L; Martinez-Solano, I"				"Bosch, Jaime/H-3042-2011; Boyero, Luz/L-5822-2014; Martinez-Solano, Inigo/C-7179-2008"	"Boyero, Luz/0000-0001-7366-9299; Martinez-Solano, Inigo/0000-0002-2260-226X"			Effects of introduced salmonids on a montane population of Iberian frogs								CONSERVATION BIOLOGY				20	1			180	189		10.1111/j.1523-1739.2006.00296.x			feb-06	2006										25	0	0	26	0	28			0888-8892			WOS:000235367100019	16909671
J	"Zamora-Camacho, Francisco J.; Reguera, Senda; Virtudes Rubino-Hispan, M.; Moreno-Rueda, Gregorio"				Moreno-Rueda, Gregorio/K-7068-2014	"REGUERA PANIZO, SENDA/0000-0002-3867-9210; Moreno-Rueda, Gregorio/0000-0002-6726-7215"			Effects of Limb Length, Body Mass, Gender, Gravidity, and Elevation on Escape Speed in the Lizard Psammodromus algirus								EVOLUTIONARY BIOLOGY				41	4			509	517		10.1007/s11692-014-9285-4			dic-14	2014										3	0	0	3	0	3			0071-3260	1934-2845		WOS:000344862900001	
J	"Jenkins, TM; Diehl, S; Kratz, KW; Cooper, SD"				Diehl, Sebastian/B-2653-2013				Effects of population density on individual growth of brown trout in streams								ECOLOGY				80	3			941	956		"10.1890/0012-9658(1999)080[0941:EOPDOI]2.0.CO;2"			abr-99	1999										190	0	0	192	0	194			dic-58			WOS:000082154300017	
J	"Sarasa, M.; Serrano, E.; Perez, J. M.; Soriguer, R. C.; Gonzalez, G.; Joachim, J.; Fandos, P.; Granados, J. -E."				"Sarasa, Mathieu/H-1002-2011; CSIC, EBD Donana/C-4157-2011; Soriguer, Ramon/J-1494-2014; Fandos, Paulino/M-7304-2015; Serrano Ferron, Emmanuel/J-4489-2013"	"CSIC, EBD Donana/0000-0003-4318-6602; Soriguer, Ramon/0000-0002-9165-7766; Fandos, Paulino/0000-0002-9607-8931; Serrano Ferron, Emmanuel/0000-0002-9799-9804"			Effects of season, age and body condition on allocation to testes mass in Iberian ibex								JOURNAL OF ZOOLOGY				281	2			125	131		10.1111/j.1469-7998.2009.00689.x			jun-10	2010										8	0	0	6	0	8			0952-8369	1469-7998		WOS:000277920100008	
J	"Sanchez-Maranon, M.; Martin-Garcia, J. M.; Delgado, R."								Effects of the fabric on the relationship between aggregate stability and color in a Regosol-Umbrisol soilscape								GEODERMA				162	1-feb			86	95		10.1016/j.geoderma.2011.01.008			APR 15 2011	2011										4	1	0	4	0	4			0016-7061	1872-6259		WOS:000289401300007	
J	"Gonzalez-Megias, A; Gomez, JM; Sanchez-Pinero, F"				Sanchez Pinero, Francisco/L-2629-2014				Effects of ungulates on epigeal arthropods in Sierra Nevada National Park (southeast Spain)								BIODIVERSITY AND CONSERVATION				13	4			733	752		10.1023/B:BIOC.0000011723.82351.82			abr-04	2004										26	0	0	28	1	29			0960-3115			WOS:000188005900005	
J	"Forister, Matthew L.; Fordyce, James A.; Nice, Chris C.; Gompert, Zachariah; Shapiro, Arthur M."								Egg morphology varies among populations and habitats along a suture zone in the Lycaeides idas-melissa species complex (Lepidoptera : Lycaenidae)								ANNALS OF THE ENTOMOLOGICAL SOCIETY OF AMERICA				99	5			933	937		"10.1603/0013-8746(2006)99[933:EMVAPA]2.0.CO;2"			sept-06	2006										13	0	0	13	0	13			0013-8746			WOS:000240607100025	
J	"Tierno de Figueroa, J.M.; Sanchez-Ortega, A."				Tierno de Figueroa, Jose Manuel/K-8143-2014	Tierno de Figueroa, Jose Manuel/0000-0003-1616-9815			Eggs and clutches of some stonefly species (Insecta, Plecoptera) in Sierra Nevada (Granada, Spain).				Huevos y puestas de algunas especies de plecopteros (Insecta, Plecoptera) de Sierra Nevada (Granada, Espana).				Zoologica Baetica				10				161	184					1999	1999										0	0	0	0	0	0			1130-4251			ZOOREC:ZOOR13600077032	
J	Holzel, H.								Ein neuer trichterbauender Ameisenli we aus Sudwesteuropa (Planipenna).								Nachrichtenblatt bayer Ent				23	5			81	85					1974	1974										2	0	0	3	0	3						ZOOREC:ZOOR11100028442	
J	"Perez Lopez, Francisco Javier; Yela, Jose Luis"								El genero Chersotis Boisduval, 1840 (Lepidoptera, Noctuidae) en Sierra Nevada (Granada, sur de Espana): datos faunisticos, taxonomicos, biogeograficos y de distribucion altitudinal.								Nouvelle Revue d'Entomologie				11	1			31	42					janvier-mars 1994	1994										0	0	0	0	0	0			0374-9797			ZOOREC:ZOOR13100031903	
J	"Hader, DP; Lebert, M; Marangoni, R; Colombetti, G"					Marangoni, Roberto/0000-0002-6603-6984			ELDONET - European Light Dosimeter Network hardware and software								JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY B-BIOLOGY				52	1-mar			51	58		10.1016/S1011-1344(99)00102-5			SEP-OCT 1999	1999										73	5	0	58	0	78			1011-1344			WOS:000084489000009	
J	"Haeder, Donat-P.; Lebert, Michael; Marangoni, Roberto; Colombetti, Giuliano"								ELDONET: European Light Dosimeter Network hardware and software								Journal of Photochemistry and Photobiology B Biology				52	1-mar			51	58					Sept.-Oct., 1999	1999										0	0	0	1	0	1			1011-1344			BIOSIS:PREV200000105599	
J	"Pisa, Sergio; Werner, Olaf; Vanderpoorten, Alain; Magdy, Mahmoud; Ros, Rosa M."				"Magdy, Mahmoud/B-6595-2014; ROS, ROSA /J-9780-2014; WERNER, OLAF/K-2374-2014"	"Magdy, Mahmoud/0000-0002-6815-6306; ROS, ROSA /0000-0003-2115-2911; WERNER, OLAF/0000-0003-0601-3964"			ELEVATIONAL PATTERNS OF GENETIC VARIATION IN THE COSMOPOLITAN MOSS BRYUM ARGENTEUM (BRYACEAE)								AMERICAN JOURNAL OF BOTANY				100	10			2000	2008		10.3732/ajb.1300100			oct-13	2013										8	0	0	8	0	8			feb-22	1537-2197		WOS:000325712800008	24091785
J	"Javier Zamora-Camacho, Francisco; Reguera, Senda; Virtudes Rubino-Hispan, Maria; Moreno-Rueda, Gregorio"					REGUERA PANIZO, SENDA/0000-0002-3867-9210			Eliciting an immune response reduces sprint speed in a lizard								BEHAVIORAL ECOLOGY				26	1			115	120		10.1093/beheco/aru170			JAN-FEB 2015	2015										0	0	0	0	0	0			1045-2249	1465-7279		WOS:000351929300017	
S	"Martinez-Martinez, J. M.; Soto, J. I.; Balanya, J. C."					Martinez Martinez, Jose Miguel/0000-0002-8178-0904	"Whitney, DL; Teyssier, C; Siddoway, CS"		Elongated domes in extended orogens: A mode of mountain uplift in the Betics (southeast Spain)								GNEISS DOMES IN OROGENY		Geological Society of America Special Papers		380				243	265					2004	2004										22	0	0	0	0	22			0072-1077		978-0-8137-2380-8	WOS:000271343400015	
J	"Perez-Martinez, Carmen; Jimenez, Laura; Moreno, Emilio; Conde-Porcuna, Jose M."				"Conde-Porcuna, Jose/L-9665-2014; Perez-Martinez, Carmen/K-1219-2014; Moreno, Emilio/G-9877-2016; Jimenez, Laura/G-9885-2016"	"Conde-Porcuna, Jose/0000-0002-5074-2796; Perez-Martinez, Carmen/0000-0001-8777-4487; Moreno, Emilio/0000-0001-6027-7333; Jimenez, Laura/0000-0002-8768-987X"			Emergence pattern and hatching cues of Daphnia pulicaria (Crustacea, Cladocera) in an alpine lake								HYDROBIOLOGIA				707	1			47	57		10.1007/s10750-012-1404-6			may-13	2013										1	0	0	1	0	1			0018-8158			WOS:000316332300004	
J	Lubick, Naomi								Emergency medicine for frogs								NATURE				465	7299			680	681					JUN 10 2010	2010										11	0	0	8	0	11			0028-0836			WOS:000278551800010	20535176
J	Leclercq, J.								En vue d'une monographie du genre Lindenius Lepeletier & Brulle (Hymenoptera Sphecidae Crabroninae).								Bulletin de la Societe Royale des Sciences de Liege				58	6			419	444					1989	1989										1	0	0	3	0	3			0037-9565			ZOOREC:ZOOR12600057823	
J	"Chacon, Jose; Irigaray, Clemente; El Hamdouni, Rachid; Valverde-Palacios, Ignacio; Valverde-Espinosa, Ignacio; Calvo, Francisco; Jimenez-Peralvarez, Jorge; Chacon, Eva; Fernandez, Paz; Garrido, Jesus; Lamas, Francisco"				"Valverde-Palacios, Ignacio/B-4491-2012; Jimenez-Peralvarez, Jorge/F-6695-2012; Calvo, Francisco/B-7881-2008; Fernandez Oliveras, Paz/K-7618-2014; Garrido Manrique, Jesus/M-4771-2014; Irigaray, Clemente/F-7345-2016; Valverde-Espinosa, Ignacio/M-2362-2014"	"Valverde-Palacios, Ignacio/0000-0002-3550-3092; Calvo, Francisco/0000-0002-8804-5507; Garrido Manrique, Jesus/0000-0002-0002-9888; Irigaray, Clemente/0000-0002-7942-0926; Valverde-Espinosa, Ignacio/0000-0002-5890-2723"			Engineering and Environmental Geology of Granada and its Metropolitan Area (Spain)								ENVIRONMENTAL & ENGINEERING GEOSCIENCE				18	3			217	260					ago-12	2012										1	0	0	0	0	1			1078-7275			WOS:000308205100001	
J	"Palenzuela, Javier; Miguel Barea, Jose; Ferrol, Nuria; Azcon-Aguilar, Concepcion; Oehl, Fritz"				"Ferrol, Nuria/H-5330-2015; Azcon, Concepcion/H-5873-2015; Barea, Jose Miguel/H-5893-2015"	"Ferrol, Nuria/0000-0001-7963-3537; Azcon, Concepcion/0000-0003-3041-8566; Barea, Jose Miguel/0000-0001-5021-4718"			Entrophospora nevadensis, a new arbuscular mycorrhizal fungus from Sierra Nevada National Park (southeastern Spain)								MYCOLOGIA				102	3			624	632		10.3852/09-145			MAY-JUN 2010	2010										24	0	0	22	0	24			0027-5514			WOS:000278356900013	20524595
J	"Oliva, Marc; Ortiz, Antonio Gomez; Palacios, David; Salvador-Franch, Ferran; Salva-Catarineu, Montserrat"				PALACIOS, DAVID/H-3737-2015	PALACIOS, DAVID/0000-0002-8289-0398			Environmental evolution in Sierra Nevada (South Spain) since the Last Glaciation, based on multi-proxy records								QUATERNARY INTERNATIONAL				353				195	209		10.1016/j.quaint.2014.02.009			DEC 5 2014	2014										6	0	0	1	0	6			1040-6182	1873-4553		WOS:000345522600012	
J	"Martinez, JRF; Zuazo, VHD; Raya, AM"				Francia Martinez, Jose Ramon/H-7663-2015	Francia Martinez, Jose Ramon/0000-0003-0251-1501			Environmental impact from mountainous olive orchards under different soil-management systems (SE Spain)								SCIENCE OF THE TOTAL ENVIRONMENT				358	1-mar			46	60		10.1016/j.scitotenv.2005.05.036			APR 1 2006	2006										31	1	0	26	2	33			0048-9697			WOS:000236788800004	
