"Journal";"ISSN";"Cites";"IFactor";"5IFactor";"Index";"Articles";"HalfLife";"Eigenfactor";"Influence";"Categoria"
"PROG LIPID RES";"0163-7827";4825;10.015;12.204;2.5;22;"8.1";0.00938;3.886;"NUTRITION & DIETETICS"
"PROG NUTR";"1129-8723";31;0.143;0.087;0.028;36;"";4e-05;0.015;"NUTRITION & DIETETICS"
"PUBLIC HEALTH NUTR";"1368-9800";8697;2.679;3.097;0.652;316;"6.0";0.02053;0.956;"NUTRITION & DIETETICS"
"REV NUTR";"1415-5273";678;0.496;0.681;0.033;60;"7.0";0.00065;0.114;"NUTRITION & DIETETICS"
"ACTA PAUL ENFERM";"0103-2100";343;0.298;0.369;0;90;"4.9";0.00081;0.076;"NURSING"
"ADV NEONAT CARE";"1536-0903";449;1.122;NA;0.064;47;"5.5";0.00107;NA;"NURSING"
"ADV NURS SCI";"0161-9268";993;0.827;1.191;0.071;28;">10.0";0.00091;0.331;"NURSING"
"ADV SKIN WOUND CARE";"1527-7941";782;1.106;1.475;0.148;54;"7.2";0.00129;0.399;"NURSING"
"AM J CRIT CARE";"1062-3264";1851;2.115;2.193;0.339;56;"7.9";0.00254;0.541;"NURSING"
"AM J NURS";"0002-936X";1335;1.298;1.651;0.22;41;"8.7";0.00203;0.545;"NURSING"
"APPL NURS RES";"0897-1897";815;0.733;1.144;0.133;45;"9.4";0.00114;0.356;"NURSING"
"ARCH PSYCHIAT NURS";"0883-9417";831;0.852;1.308;0.188;64;"7.9";0.00136;0.382;"NURSING"
"ASIAN NURS RES";"1976-1317";138;1;0.77;0.114;44;"3.5";0.00043;0.213;"NURSING"
"ASSIST INFERM RIC";"1592-5986";65;0.315;0.371;0.138;29;"";0.00012;0.07;"NURSING"
"AUST CRIT CARE";"1036-7314";315;1.562;1.358;0.16;25;"6.3";0.00075;0.431;"NURSING"
"AUST J ADV NURS";"0813-0531";406;0.22;0.627;0.05;20;"7.7";0.00043;0.166;"NURSING"
"AUST J RURAL HEALTH";"1038-5282";834;1.225;1.468;0.064;47;"6.5";0.00173;0.436;"NURSING"
"BARIAT NURS SURG PAT";"1557-1459";47;0.115;0.192;NA;0;"";8e-05;0.051;"NURSING"
"BARIATR SURG PRACT P";"2168-023X";8;0.15;0.15;0.172;29;"";0;0;"NURSING"
"BIOL RES NURS";"1099-8004";681;1.427;1.564;0.479;48;"5.6";0.00165;0.472;"NURSING"
"BIRTH-ISS PERINAT C";"0730-7659";1796;1.264;2.613;0.295;44;"8.6";0.00241;0.761;"NURSING"
"CANCER NURS";"0162-220X";2390;1.966;2.112;0.306;85;"8.5";0.00399;0.673;"NURSING"
"CIN-COMPUT INFORM NU";"1538-2931";539;0.758;1.056;0.038;52;"4.8";0.00118;0.246;"NURSING"
"CLIN J ONCOL NURS";"1092-1095";800;0.91;1.083;0.219;137;"5.4";0.00164;0.276;"NURSING"
"CLIN NURS RES";"1054-7738";482;1.278;1.317;0.081;37;"8.9";0.00082;0.42;"NURSING"
"CLIN NURSE SPEC";"0887-6274";383;0.986;1.182;0.229;35;"5.9";0.00064;0.255;"NURSING"
"COLLEGIAN";"1322-7696";306;1.175;1.488;0.067;45;"5.0";0.00075;0.368;"NURSING"
"CONTEMP NURSE";"1037-6178";744;0.65;0.908;0.203;69;"6.5";0.00126;0.227;"NURSING"
"CRIT CARE NURS CLIN";"0899-5885";268;0.488;NA;0;48;"7.8";0.00038;NA;"NURSING"
"CRIT CARE NURSE";"0279-5442";562;1.556;1.471;0.053;38;"6.1";0.00116;0.39;"NURSING"
"EUR J CANCER CARE";"0961-5423";1598;1.564;1.59;0.57;86;"6.0";0.00363;0.483;"NURSING"
"EUR J CARDIOVASC NUR";"1474-5151";854;1.876;1.894;0.589;56;"5.7";0.00171;0.476;"NURSING"
"EUR J ONCOL NURS";"1462-3889";1129;1.426;1.814;0.239;92;"5.1";0.00296;0.517;"NURSING"
"GASTROENTEROL NURS";"1042-895X";308;0.688;0.887;0.028;36;"6.8";0.00071;0.279;"NURSING"
"GERIATR NURS";"0197-4572";592;1.2;1.352;0.145;62;"6.6";0.00113;0.391;"NURSING"
"HEART LUNG";"0147-9563";1710;1.29;1.521;0.309;110;">10.0";0.00244;0.435;"NURSING"
"HOLIST NURS PRACT";"0887-9311";433;0.622;0.718;0.095;42;"8.7";0.00057;0.179;"NURSING"
"INT EMERG NURS";"1755-599X";195;0.703;NA;0.243;37;"4.2";0.00063;NA;"NURSING"
"INT J MENT HEALTH NU";"1445-8330";922;1.95;1.925;0.226;62;"5.2";0.00187;0.439;"NURSING"
"INT J NURS KNOWL";"2047-3087";23;0.404;0.404;0.138;29;"";7e-05;0.1;"NURSING"
"INT J NURS PRACT";"1322-7114";979;0.599;0.969;0.133;90;"6.9";0.0019;0.281;"NURSING"
"INT J NURS STUD";"0020-7489";4878;2.901;3.207;0.392;153;"5.8";0.01141;0.924;"NURSING"
"INT NURS REV";"0020-8132";807;0.948;1.324;0.226;62;"5.5";0.00187;0.354;"NURSING"
"J ADDICT NURS";"1088-4602";119;0.453;0.595;0.167;24;"4.9";0.00028;0.15;"NURSING"
"J ADV NURS";"0309-2402";12024;1.741;2.296;0.259;239;"9.5";0.01298;0.655;"NURSING"
"J AM ACAD NURSE PRAC";"1041-2972";944;1.017;1.121;NA;0;"6.2";0.00202;0.329;"NURSING"
"J AM ASSOC NURSE PRA";"2327-6886";48;NA;NA;0.272;81;"";9e-05;NA;"NURSING"
"J AM PSYCHIAT NURSES";"1078-3903";287;0.977;NA;0.4;20;"6.0";0.00065;NA;"NURSING"
"J ASSOC NURSE AIDS C";"1055-3290";747;1.274;1.488;0.292;65;"5.9";0.00165;0.425;"NURSING"
"J CARDIOVASC NURS";"0889-4655";1176;2.053;2.193;0.484;64;"5.4";0.00301;0.642;"NURSING"
"J CHILD HEALTH CARE";"1367-4935";373;0.875;1.106;0.273;33;"6.0";0.00084;0.332;"NURSING"
"J CLIN NURS";"0962-1067";6524;1.255;1.696;0.186;344;"6.1";0.01369;0.477;"NURSING"
"J COMMUN HEALTH NURS";"0737-0016";261;0.475;0.6;0.053;19;">10.0";0.00029;0.181;"NURSING"
"J CONTIN EDUC NURS";"0022-0124";582;0.519;0.902;0.118;68;"6.0";0.00119;0.236;"NURSING"
"J EMERG NURS";"0099-1767";756;0.787;0.804;0.193;88;"7.4";0.00121;0.208;"NURSING"
"J FAM NURS";"1074-8407";422;1.342;1.663;0.05;20;"7.0";0.00061;0.38;"NURSING"
"J GERONTOL NURS";"0098-9134";1071;1.016;1.022;0.227;66;"8.5";0.00152;0.295;"NURSING"
"J HOSP PALLIAT NURS";"1522-2179";247;0.439;0.592;0.033;60;"5.1";0.00052;0.137;"NURSING"
"J HUM LACT";"0890-3344";1096;1.985;1.838;0.293;58;"7.3";0.00175;0.459;"NURSING"
"J KOREAN ACAD NURS";"2005-3673";359;0.38;0.428;0.083;72;"5.4";0.00066;0.09;"NURSING"
"J MIDWIFERY WOM HEAL";"1526-9523";1269;1.067;1.531;1.085;71;"6.2";0.0024;0.427;"NURSING"
"J NEUROSCI NURS";"0888-0395";585;0.815;1.095;0.073;55;"6.9";0.00108;0.308;"NURSING"
"J NURS ADMIN";"0002-0443";1934;1.273;1.611;0.237;97;"7.9";0.00287;0.432;"NURSING"
"J NURS CARE QUAL";"1057-3631";686;1.389;1.314;0.18;50;"6.6";0.00129;0.364;"NURSING"
"J NURS EDUC";"0148-4834";1666;0.91;1.17;0.048;125;"7.6";0.00211;0.244;"NURSING"
"J NURS MANAGE";"0966-0429";2059;1.5;2.182;0.091;99;"5.5";0.00471;0.557;"NURSING"
"J NURS RES";"1682-3141";387;0.97;1.117;0.061;33;"6.3";0.00079;0.307;"NURSING"
"J NURS SCHOLARSHIP";"1527-6546";1573;1.636;2.138;0.128;47;"8.0";0.00251;0.642;"NURSING"
"J PEDIATR HEALTH CAR";"0891-5245";734;1.44;1.89;0.137;51;"6.4";0.00168;0.584;"NURSING"
"J PEDIATR NURS";"0882-5963";1145;1.006;NA;0.795;83;"7.1";0.00182;NA;"NURSING"
"J PEDIATR ONCOL NURS";"1043-4542";655;0.903;1.408;0.182;33;"7.4";0.00119;0.429;"NURSING"
"J PERIANESTH NURS";"1089-9472";360;0.943;1.121;0.178;45;"6.5";0.00057;0.253;"NURSING"
"J PERINAT NEONAT NUR";"0893-2190";492;1.1;1.083;0.219;32;"7.5";0.00073;0.273;"NURSING"
"J PROF NURS";"8755-7223";868;0.945;1.231;0.048;62;"7.9";0.00122;0.301;"NURSING"
"J PSYCHIATR MENT HLT";"1351-0126";1649;0.844;1.25;0.136;110;"6.8";0.00288;0.33;"NURSING"
"J PSYCHOSOC NURS MEN";"0279-3695";554;0.723;0.764;0.233;60;"6.6";0.00085;0.176;"NURSING"
"J SCH NURS";"1059-8405";468;1.112;1.09;0.085;47;"5.7";0.0011;0.314;"NURSING"
"J SPEC PEDIATR NURS";"1539-0136";389;0.923;1.323;0.267;30;"5.4";0.001;0.383;"NURSING"
"J TISSUE VIABILITY";"0965-206X";217;1.129;NA;0.235;17;"4.8";0.00061;NA;"NURSING"
"J TRANSCULT NURS";"1043-6596";664;0.659;1.041;0.109;46;"7.7";0.00104;0.296;"NURSING"
"J WOUND OSTOMY CONT";"1071-5754";845;1.177;1.236;0.161;62;"6.3";0.0012;0.241;"NURSING"
"JNP-J NURSE PRACT";"1555-4155";138;0.231;NA;0.041;74;"4.0";4e-04;NA;"NURSING"
"JOGNN-J OBST GYN NEO";"0884-2175";1761;1.024;1.458;0.213;80;"8.0";0.00267;0.43;"NURSING"
"JPN J NURS SCI";"1742-7932";84;0.388;0.602;0.094;32;"";0.00026;0.168;"NURSING"
"MCN-AM J MATERN-CHIL";"0361-929X";590;0.898;0.923;0.143;42;"7.9";0.00087;0.264;"NURSING"
"MIDWIFERY";"0266-6138";1970;1.573;1.958;0.5;170;"4.6";0.00419;0.44;"NURSING"
"NEPHROL NURS J";"1526-744X";371;0.615;NA;0.111;45;"6.8";0.00063;NA;"NURSING"
"NURS CLIN N AM";"0029-6465";485;0.839;0.735;0.023;44;"9.0";0.00091;0.254;"NURSING"
"NURS CRIT CARE";"1362-1017";500;0.646;1.371;1.448;29;"5.6";0.00095;0.354;"NURSING"
"NURS ECON";"0746-1739";595;0.797;1.217;0.192;26;"6.9";0.00123;0.383;"NURSING"
"NURS EDUC";"0363-3624";481;0.67;0.715;0.145;62;"7.8";0.00065;0.167;"NURSING"
"NURS EDUC TODAY";"0260-6917";3325;1.364;1.806;0.258;233;"6.4";0.00388;0.294;"NURSING"
"NURS ETHICS";"0969-7330";1191;1.247;1.611;0.071;70;"6.6";0.00203;0.385;"NURSING"
"NURS HEALTH SCI";"1441-0745";822;1.042;1.333;0.099;71;"5.2";0.00183;0.329;"NURSING"
"NURS INQ";"1320-7881";679;1.439;1.503;0.378;37;"7.6";0.00118;0.439;"NURSING"
"NURS OUTLOOK";"0029-6554";898;1.588;2.056;0.188;48;"6.8";0.00188;0.598;"NURSING"
"NURS PHILOS";"1466-7681";336;0.833;1.107;0.148;27;"6.8";0.00061;0.314;"NURSING"
"NURS RES";"0029-6562";3148;1.356;2.043;0.295;44;">10.0";0.00287;0.647;"NURSING"
"NURS SCI QUART";"0894-3184";426;0.705;0.592;0.102;49;"8.6";0.00027;0.076;"NURSING"
"ONCOL NURS FORUM";"0190-535X";2655;2.788;3.08;0.403;62;"8.6";0.004;0.92;"NURSING"
"ORTHOP NURS";"0744-6020";404;0.561;0.706;0.152;33;"9.0";0.00075;0.265;"NURSING"
"PAIN MANAG NURS";"1524-9042";713;1.529;2.042;0.144;97;"6.1";0.00128;0.484;"NURSING"
"PERSPECT PSYCHIATR C";"0031-5990";338;0.651;1;0.086;35;"6.5";7e-04;0.305;"NURSING"
"PFLEGE";"1012-5302";102;0.218;0.279;0;29;"6.9";0.00013;0.059;"NURSING"
"PUBLIC HEALTH NURS";"0737-1209";1020;0.833;0.932;0.032;62;"9.0";0.00141;0.289;"NURSING"
"REHABIL NURS";"0278-4807";525;1.153;1.058;0.29;31;"8.0";8e-04;0.292;"NURSING"
"RES GERONTOL NURS";"1940-4921";157;0.643;0.893;0.115;26;"4.7";0.00053;0.238;"NURSING"
"RES NURS HEALTH";"0160-6891";3080;1.267;2.354;0.289;45;">10.0";0.00287;0.763;"NURSING"
"RES THEOR NURS PRACT";"1541-6577";269;0.364;NA;0.059;17;"8.0";0.00045;NA;"NURSING"
"REV ESC ENFERM USP";"0080-6234";619;0.452;0.455;0.052;135;"4.2";0.0012;0.079;"NURSING"
"REV LAT-AM ENFERM";"0104-1169";894;0.534;0.623;0.053;132;"5.5";0.00161;0.13;"NURSING"
"WESTERN J NURS RES";"0193-9459";1352;1.032;1.371;0.303;66;"9.1";0.00193;0.425;"NURSING"
"WOMEN BIRTH";"1871-5192";365;1.573;NA;0.155;58;"3.5";0.00092;NA;"NURSING"
"WORKPLACE HEALTH SAF";"2165-0799";74;0.564;0.564;0.067;60;"";0.00024;0.129;"NURSING"
"WORLDV EVID-BASED NU";"1545-102X";576;2.381;2.477;0.295;44;"6.1";0.00125;0.723;"NURSING"
"ANN NUCL ENERGY";"0306-4549";2898;0.96;0.985;0.304;516;"5.2";0.00783;0.325;"NUCLEAR SCIENCE & TECHNOLOGY"
"APPL RADIAT ISOTOPES";"0969-8043";6467;1.231;1.231;0.192;448;"7.7";0.01173;0.349;"NUCLEAR SCIENCE & TECHNOLOGY"
"ATOM ENERGY+";"1063-4258";227;0.089;0.076;0.008;133;">10.0";0.00032;0.033;"NUCLEAR SCIENCE & TECHNOLOGY"
"ATW-INT J NUCL POWER";"1431-5254";30;0.04;0.04;0.022;91;"";6e-05;0.009;"NUCLEAR SCIENCE & TECHNOLOGY"
"FUSION ENG DES";"0920-3796";5601;1.152;1.168;0.148;527;"5.6";0.01426;0.358;"NUCLEAR SCIENCE & TECHNOLOGY"
"FUSION SCI TECHNOL";"1536-1055";1321;0.486;0.48;0.184;98;"5.6";0.00569;0.246;"NUCLEAR SCIENCE & TECHNOLOGY"
"HEALTH PHYS";"0017-9078";3859;1.271;1.339;0.37;146;">10.0";0.00541;0.411;"NUCLEAR SCIENCE & TECHNOLOGY"
"IEEE T NUCL SCI";"0018-9499";10640;1.283;1.378;0.259;499;"8.6";0.01689;0.412;"NUCLEAR SCIENCE & TECHNOLOGY"
"INT J ENERG RES";"0363-907X";3857;2.418;2.664;0.509;173;"6.4";0.00525;0.514;"NUCLEAR SCIENCE & TECHNOLOGY"
"INT J RADIAT BIOL";"0955-3002";4211;1.687;1.949;0.738;145;">10.0";0.00508;0.543;"NUCLEAR SCIENCE & TECHNOLOGY"
"J FUSION ENERG";"0164-0313";606;0.985;0.924;0.297;118;"4.1";0.0015;0.206;"NUCLEAR SCIENCE & TECHNOLOGY"
"J NUCL MATER";"0022-3115";21569;1.865;1.931;0.432;694;"8.2";0.04098;0.636;"NUCLEAR SCIENCE & TECHNOLOGY"
"J NUCL SCI TECHNOL";"0022-3131";2693;1.118;1.168;0.188;133;">10.0";0.00488;0.462;"NUCLEAR SCIENCE & TECHNOLOGY"
"J RADIOANAL NUCL CH";"0236-5731";5998;1.034;1.024;0.22;732;"5.9";0.00877;0.196;"NUCLEAR SCIENCE & TECHNOLOGY"
"J RADIOL PROT";"0952-4746";769;1.702;1.553;0.329;70;"5.6";0.002;0.489;"NUCLEAR SCIENCE & TECHNOLOGY"
"KERNTECHNIK";"0932-3902";125;0.179;0.197;0.058;69;"5.6";0.00031;0.062;"NUCLEAR SCIENCE & TECHNOLOGY"
"NUCL ENG DES";"0029-5493";7194;0.952;1.131;0.202;610;"8.2";0.01421;0.394;"NUCLEAR SCIENCE & TECHNOLOGY"
"NUCL ENG INT";"0029-5507";79;0.088;0.088;0.011;93;"";0.00025;0.042;"NUCLEAR SCIENCE & TECHNOLOGY"
"NUCL ENG TECHNOL";"1738-5733";594;0.77;0.737;0.069;87;"5.6";0.00275;0.399;"NUCLEAR SCIENCE & TECHNOLOGY"
"NUCL INSTRUM METH A";"0168-9002";23666;1.216;1.165;0.387;1030;"8.8";0.0455;0.415;"NUCLEAR SCIENCE & TECHNOLOGY"
"NUCL INSTRUM METH B";"0168-583X";15706;1.124;1.226;0.254;619;"9.2";0.02368;0.407;"NUCLEAR SCIENCE & TECHNOLOGY"
"NUCL SCI ENG";"0029-5639";1942;0.657;0.813;0.222;90;">10.0";0.00198;0.376;"NUCLEAR SCIENCE & TECHNOLOGY"
"NUCL SCI TECH";"1001-8042";189;0.401;0.302;0.125;112;"3.4";6e-04;0.095;"NUCLEAR SCIENCE & TECHNOLOGY"
"NUCL TECHNOL";"0029-5450";1620;0.725;0.607;0.165;103;">10.0";0.00371;0.289;"NUCLEAR SCIENCE & TECHNOLOGY"
"NUCL TECHNOL RADIAT";"1451-3994";156;0.56;0.579;0.086;58;"3.4";0.00058;0.166;"NUCLEAR SCIENCE & TECHNOLOGY"
"PROBL ATOM SCI TECH";"1562-6016";201;0.136;0.106;0.004;247;"3.6";0.00062;0.027;"NUCLEAR SCIENCE & TECHNOLOGY"
"PROG NUCL ENERG";"0149-1970";1516;1.119;1.106;0.365;208;"6.2";0.00458;0.485;"NUCLEAR SCIENCE & TECHNOLOGY"
"RADIAT EFF DEFECT S";"1042-0150";1144;0.513;0.508;0.134;112;">10.0";0.0012;0.134;"NUCLEAR SCIENCE & TECHNOLOGY"
"RADIAT MEAS";"1350-4487";5601;1.213;1.362;0.207;203;"7.5";0.01005;0.439;"NUCLEAR SCIENCE & TECHNOLOGY"
"RADIAT PHYS CHEM";"0969-806X";5789;1.38;1.404;0.403;506;"8.7";0.007;0.322;"NUCLEAR SCIENCE & TECHNOLOGY"
"RADIAT PROT DOSIM";"0144-8420";5081;0.913;0.966;0.121;365;"8.4";0.00881;0.313;"NUCLEAR SCIENCE & TECHNOLOGY"
"RADIOCHIM ACTA";"0033-8230";2544;1.014;1.226;0.221;113;">10.0";0.0028;0.338;"NUCLEAR SCIENCE & TECHNOLOGY"
"RADIOPROTECTION";"0033-8451";224;0.54;0.883;0.176;34;"5.6";0.00074;0.32;"NUCLEAR SCIENCE & TECHNOLOGY"
"SCI TECHNOL NUCL INS";"1687-6075";197;0.627;0.591;0.122;74;"2.7";0.00122;0.302;"NUCLEAR SCIENCE & TECHNOLOGY"
"ACS CHEM NEUROSCI";"1948-7193";1877;4.362;4.363;1.024;126;"2.4";0.00839;1.321;"NEUROSCIENCES"
"ACTA NEUROBIOL EXP";"0065-1400";993;1.286;1.732;0.068;44;"7.5";0.00145;0.438;"NEUROSCIENCES"
"ACTA NEUROL BELG";"0300-9009";566;0.894;0.761;0.156;32;"8.4";0.00114;0.231;"NEUROSCIENCES"
"ACTA NEUROPATHOL";"0001-6322";13098;10.762;9.762;2.5;116;"6.7";0.03329;3.483;"NEUROSCIENCES"
"ACTA NEUROPSYCHIATR";"1601-5215";367;0.802;0.667;0.062;48;"5.7";0.00088;0.195;"NEUROSCIENCES"
"ACTAS ESP PSIQUIATRI";"1139-9287";441;1.2;0.811;0.129;31;"6.2";0.00089;0.217;"NEUROSCIENCES"
"ACUPUNCTURE ELECTRO";"0360-1293";217;0.824;0.745;0;11;">10.0";8e-05;0.104;"NEUROSCIENCES"
"ALZHEIMERS RES THER";"1758-9193";676;3.979;4.364;0.765;68;"2.5";0.00329;1.451;"NEUROSCIENCES"
"ANN NEUROL";"0364-5134";32934;9.977;10.792;1.97;167;"9.9";0.06054;4.176;"NEUROSCIENCES"
"ANNU REV NEUROSCI";"0147-006X";13226;19.32;25.92;1.32;25;">10.0";0.02423;13.624;"NEUROSCIENCES"
"ARCH ITAL BIOL";"0003-9829";588;1.488;1.608;0;5;">10.0";0.00127;0.522;"NEUROSCIENCES"
"ARQ NEURO-PSIQUIAT";"0004-282X";2148;0.843;0.994;0.304;148;"7.3";0.00354;0.263;"NEUROSCIENCES"
"ASN NEURO";"1759-0914";557;4.017;4.137;0.625;24;"3.2";0.00289;1.391;"NEUROSCIENCES"
"AUDIOL NEURO-OTOL";"1420-3030";1359;1.705;2.113;0.182;44;"8.0";0.00261;0.711;"NEUROSCIENCES"
"AUTON NEUROSCI-BASIC";"1566-0702";2266;1.562;1.729;0.52;100;"6.8";0.00442;0.5;"NEUROSCIENCES"
"BEHAV BRAIN FUNCT";"1744-9081";1303;1.972;2.684;0.133;45;"5.2";0.00363;0.81;"NEUROSCIENCES"
"BEHAV BRAIN RES";"0166-4328";21129;3.028;3.298;0.585;562;"6.4";0.0426;0.918;"NEUROSCIENCES"
"BEHAV BRAIN SCI";"0140-525X";7562;20.771;24.308;2.75;20;">10.0";0.01103;10.686;"NEUROSCIENCES"
"BEHAV NEUROSCI";"0735-7044";7930;2.728;3.082;0.485;68;">10.0";0.00778;0.982;"NEUROSCIENCES"
"BEHAV PHARMACOL";"0955-8810";2782;2.148;2.379;0.276;76;"7.8";0.00429;0.645;"NEUROSCIENCES"
"BIOL CYBERN";"0340-1200";4105;1.713;1.786;0.192;52;">10.0";0.00295;0.662;"NEUROSCIENCES"
"BIOL PSYCHIAT";"0006-3223";40812;10.255;10.359;2.667;210;"7.7";0.07948;3.553;"NEUROSCIENCES"
"BIPOLAR DISORD";"1398-5647";4886;4.965;5.282;0.966;88;"6.3";0.01106;1.65;"NEUROSCIENCES"
"BMC NEUROSCI";"1471-2202";4101;2.665;3.066;0.398;133;"5.3";0.01167;0.948;"NEUROSCIENCES"
"BRAIN";"0006-8950";44379;9.196;10.418;2.422;244;"8.5";0.08489;3.846;"NEUROSCIENCES"
"BRAIN BEHAV";"2162-3279";368;2.243;2.229;0.205;83;"2.3";0.0017;0.699;"NEUROSCIENCES"
"BRAIN BEHAV EVOLUT";"0006-8977";2138;2.013;2.423;0.488;43;">10.0";0.00247;0.746;"NEUROSCIENCES"
"BRAIN BEHAV IMMUN";"0889-1591";8218;5.889;5.895;1.278;205;"4.7";0.02239;1.728;"NEUROSCIENCES"
"BRAIN COGNITION";"0278-2626";6209;2.477;3.335;0.582;141;"8.5";0.01111;1.072;"NEUROSCIENCES"
"BRAIN IMPAIR";"1443-9646";210;0.809;1.167;0;21;"5.4";0.00056;0.329;"NEUROSCIENCES"
"BRAIN INJURY";"0269-9052";4685;1.808;2.126;0.305;177;"8.2";0.00701;0.602;"NEUROSCIENCES"
"BRAIN LANG";"0093-934X";6019;3.215;3.637;0.602;93;">10.0";0.00926;1.23;"NEUROSCIENCES"
"BRAIN PATHOL";"1015-6305";3976;4.643;3.969;1.029;70;"7.2";0.00814;1.325;"NEUROSCIENCES"
"BRAIN RES";"0006-8993";57922;2.843;2.988;0.437;561;">10.0";0.06412;0.89;"NEUROSCIENCES"
"BRAIN RES BULL";"0361-9230";8735;2.718;2.771;0.474;114;">10.0";0.01042;0.769;"NEUROSCIENCES"
"BRAIN STIMUL";"1935-861X";1920;4.399;4.737;0.949;117;"2.9";0.00683;1.433;"NEUROSCIENCES"
"BRAIN STRUCT FUNCT";"1863-2653";2478;5.618;6.935;1.354;147;"3.8";0.01071;2.435;"NEUROSCIENCES"
"BRAIN TOPOGR";"0896-0267";1776;3.468;3.716;1.164;67;"6.3";0.00385;1.166;"NEUROSCIENCES"
"CELL MOL NEUROBIOL";"0272-4340";3224;2.506;2.134;0.527;112;"6.6";0.00591;0.552;"NEUROSCIENCES"
"CEPHALALGIA";"0333-1024";7097;4.891;3.736;0.926;121;"7.6";0.01114;0.986;"NEUROSCIENCES"
"CEREB CORTEX";"1047-3211";26191;8.665;8.335;2.043;282;"6.7";0.06927;3.29;"NEUROSCIENCES"
"CEREBELLUM";"1473-4222";1872;2.717;2.786;0.759;83;"4.4";0.00502;0.805;"NEUROSCIENCES"
"CESK SLOV NEUROL N";"1210-7859";161;0.165;0.2;0.189;106;"4.5";9e-05;0.011;"NEUROSCIENCES"
"CHEM SENSES";"0379-864X";4252;3.157;3.199;0.507;67;"9.5";0.00572;0.998;"NEUROSCIENCES"
"CHEMOSENS PERCEPT";"1936-5802";255;1.302;1.733;0.25;16;"4.3";0.00092;0.499;"NEUROSCIENCES"
"CLIN AUTON RES";"0959-9851";1223;1.487;1.737;0.424;33;"9.5";0.00192;0.577;"NEUROSCIENCES"
"CLIN EEG NEUROSCI";"1550-0594";683;2.219;2.585;0.395;43;"4.8";0.00193;0.691;"NEUROSCIENCES"
"CLIN NEUROPHYSIOL";"1388-2457";14470;3.097;3.356;1.064;264;"8.0";0.02149;1.003;"NEUROSCIENCES"
"CNS NEUROL DISORD-DR";"1871-5273";1844;2.628;3.148;0.506;172;"4.0";0.00511;0.78;"NEUROSCIENCES"
"CNS NEUROSCI THER";"1755-5930";1745;3.931;4;0.773;110;"2.8";0.00627;1.032;"NEUROSCIENCES"
"COGN AFFECT BEHAV NE";"1530-7026";3093;3.287;4.415;0.679;106;"7.2";0.00647;1.538;"NEUROSCIENCES"
"COGN COMPUT";"1866-9956";373;1.44;1.731;0.485;68;"3.3";0.00108;0.353;"NEUROSCIENCES"
"COGN NEURODYNAMICS";"1871-4080";425;1.671;1.769;0.217;46;"4.0";0.00108;0.375;"NEUROSCIENCES"
"COGN NEUROSCI-UK";"1758-8928";304;2.653;2.891;0.444;27;"3.2";0.00169;1.056;"NEUROSCIENCES"
"COGN SYST RES";"1389-0417";408;0.831;1.311;0.526;19;"6.0";0.00117;0.496;"NEUROSCIENCES"
"COMPUT INTEL NEUROSC";"1687-5265";627;0.596;NA;0.03;66;"3.6";0.00326;NA;"NEUROSCIENCES"
"CORTEX";"0010-9452";6768;5.128;5.014;0.966;178;"5.8";0.0169;1.623;"NEUROSCIENCES"
"CURR ALZHEIMER RES";"1567-2050";2813;3.889;3.933;0.558;104;"4.3";0.00778;1.056;"NEUROSCIENCES"
"CURR NEUROL NEUROSCI";"1528-4042";1662;3.059;3.1;0.326;86;"4.2";0.00601;1.054;"NEUROSCIENCES"
"CURR NEUROPHARMACOL";"1570-159X";1392;3.049;3.799;0.512;41;"5.0";0.00381;0.982;"NEUROSCIENCES"
"CURR NEUROVASC RES";"1567-2026";769;2.253;2.409;0.452;42;"5.5";0.00158;0.58;"NEUROSCIENCES"
"CURR OPIN NEUROBIOL";"0959-4388";12732;6.628;7.284;1.604;164;"8.2";0.0338;3.559;"NEUROSCIENCES"
"CURR OPIN NEUROL";"1350-7540";4789;5.307;5.004;0.828;87;"6.0";0.01265;1.732;"NEUROSCIENCES"
"DEV COGN NEUROS-NETH";"1878-9293";759;3.833;4.582;0.625;56;"2.7";0.00421;1.677;"NEUROSCIENCES"
"DEV DISABIL RES REV";"1940-5510";590;2.75;3.728;NA;0;"5.4";0.00223;1.235;"NEUROSCIENCES"
"DEV NEUROBIOL";"1932-8451";2333;3.37;3.791;1.337;86;"4.0";0.00952;1.476;"NEUROSCIENCES"
"DEV NEUROSCI-BASEL";"0378-5866";2056;2.697;3.701;0.128;47;"8.4";0.00401;1.197;"NEUROSCIENCES"
"ENCEPHALE";"0013-7006";1075;0.698;0.653;0.182;88;"9.0";0.00121;0.139;"NEUROSCIENCES"
"EUR J NEUROL";"1351-5101";7843;4.055;3.786;0.734;214;"5.3";0.02084;1.173;"NEUROSCIENCES"
"EUR J NEUROSCI";"0953-816X";27855;3.181;3.705;0.658;348;"8.9";0.0419;1.325;"NEUROSCIENCES"
"EUR J PAIN";"1090-3801";5015;2.928;3.508;0.72;150;"5.7";0.0144;1.237;"NEUROSCIENCES"
"EUR NEUROL";"0014-3022";2749;1.356;1.619;0.239;113;">10.0";0.00452;0.525;"NEUROSCIENCES"
"EUR NEUROPSYCHOPHARM";"0924-977X";5171;4.369;4.754;0.799;189;"5.2";0.01259;1.374;"NEUROSCIENCES"
