JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
STRUCTURE;0969-2126;13533;5.618;5.895;1.353;167;7.9;0.04349;3.170;
TRACE ELEM ELECTROLY;0946-2104;215;0.299;0.351;0.067;30;>10.0;0.00014;0.052;
TRANSGENIC RES;0962-8819;2728;2.322;2.208;0.575;80;6.8;0.00453;0.571;
TRENDS BIOCHEM SCI;0968-0004;15782;11.227;11.810;3.052;58;>10.0;0.03238;5.527;
TRENDS GLYCOSCI GLYC;0915-7352;219;0.410;0.514;0.000;11;>10.0;0.00028;0.160;
TRENDS MICROBIOL;0966-842X;9285;9.186;9.017;2.315;73;8.2;0.01934;3.356;
TRENDS MOL MED;1471-4914;7186;9.453;9.931;1.714;70;6.0;0.01946;3.502;
TURK J BIOCHEM;0250-4685;138;0.201;0.262;0.025;81;5.2;0.00027;0.056;
VITAM HORM;0083-6729;1470;2.039;2.395;0.438;48;6.7;0.00295;0.712;
YEAST;0749-503X;4345;1.634;1.892;0.286;42;>10.0;0.00279;0.594;
Z NATURFORSCH C;0939-5075;2718;0.552;0.765;0.057;53;>10.0;0.00124;0.164;

